family,scope,a,b,case,outcome,n_disc,p,p_min_attainable,attainable_below_05
Family 1,pooled,chunk200_bm25_enriched,chunk200_bm25,B,abstained,2,1.0,0.5,False
Family 1,pooled,chunk200_dense_enriched,chunk200_dense,B,abstained,0,,,
Family 1,pooled,chunk200_hybrid_enriched,chunk200_hybrid,B,abstained,4,0.625,0.125,False
Family 1,pooled,chunk500_bm25_enriched,chunk500_bm25,B,abstained,3,1.0,0.25,False
Family 1,pooled,chunk500_dense_enriched,chunk500_dense,B,abstained,6,0.21875,0.03125,True
Family 1,pooled,chunk500_hybrid_enriched,chunk500_hybrid,B,abstained,3,1.0,0.25,False
Family 1,pooled,chunk200_bm25_enriched,chunk200_bm25,B,answered_grounded_correct,4,0.625,0.125,False
Family 1,pooled,chunk200_dense_enriched,chunk200_dense,B,answered_grounded_correct,2,1.0,0.5,False
Family 1,pooled,chunk200_hybrid_enriched,chunk200_hybrid,B,answered_grounded_correct,4,0.125,0.125,False
Family 1,pooled,chunk500_bm25_enriched,chunk500_bm25,B,answered_grounded_correct,1,1.0,1,False
Family 1,pooled,chunk500_dense_enriched,chunk500_dense,B,answered_grounded_correct,4,0.625,0.125,False
Family 1,pooled,chunk500_hybrid_enriched,chunk500_hybrid,B,answered_grounded_correct,2,0.5,0.5,False
Family 1,pooled,chunk200_bm25_enriched,chunk200_bm25,B,answered_grounded_offtarget,4,0.625,0.125,False
Family 1,pooled,chunk200_dense_enriched,chunk200_dense,B,answered_grounded_offtarget,2,1.0,0.5,False
Family 1,pooled,chunk200_hybrid_enriched,chunk200_hybrid,B,answered_grounded_offtarget,6,0.6875,0.03125,True
Family 1,pooled,chunk500_bm25_enriched,chunk500_bm25,B,answered_grounded_offtarget,2,0.5,0.5,False
Family 1,pooled,chunk500_dense_enriched,chunk500_dense,B,answered_grounded_offtarget,3,1.0,0.25,False
Family 1,pooled,chunk500_hybrid_enriched,chunk500_hybrid,B,answered_grounded_offtarget,4,0.125,0.125,False
Family 1,pooled,chunk200_bm25_enriched,chunk200_bm25,B,answered_ungrounded,0,,,
Family 1,pooled,chunk200_dense_enriched,chunk200_dense,B,answered_ungrounded,0,,,
Family 1,pooled,chunk200_hybrid_enriched,chunk200_hybrid,B,answered_ungrounded,2,1.0,0.5,False
Family 1,pooled,chunk500_bm25_enriched,chunk500_bm25,B,answered_ungrounded,0,,,
Family 1,pooled,chunk500_dense_enriched,chunk500_dense,B,answered_ungrounded,1,1.0,1,False
Family 1,pooled,chunk500_hybrid_enriched,chunk500_hybrid,B,answered_ungrounded,1,1.0,1,False
Family 1,pooled,chunk200_bm25_enriched,chunk200_bm25,C,abstained,1,1.0,1,False
Family 1,pooled,chunk200_dense_enriched,chunk200_dense,C,abstained,0,,,
Family 1,pooled,chunk200_hybrid_enriched,chunk200_hybrid,C,abstained,2,0.5,0.5,False
Family 1,pooled,chunk500_bm25_enriched,chunk500_bm25,C,abstained,1,1.0,1,False
Family 1,pooled,chunk500_dense_enriched,chunk500_dense,C,abstained,2,0.5,0.5,False
Family 1,pooled,chunk500_hybrid_enriched,chunk500_hybrid,C,abstained,2,1.0,0.5,False
Family 1,pooled,chunk200_bm25_enriched,chunk200_bm25,C,answered_grounded_correct,1,1.0,1,False
Family 1,pooled,chunk200_dense_enriched,chunk200_dense,C,answered_grounded_correct,0,,,
Family 1,pooled,chunk200_hybrid_enriched,chunk200_hybrid,C,answered_grounded_correct,2,0.5,0.5,False
Family 1,pooled,chunk500_bm25_enriched,chunk500_bm25,C,answered_grounded_correct,1,1.0,1,False
Family 1,pooled,chunk500_dense_enriched,chunk500_dense,C,answered_grounded_correct,3,1.0,0.25,False
Family 1,pooled,chunk500_hybrid_enriched,chunk500_hybrid,C,answered_grounded_correct,2,1.0,0.5,False
Family 1,pooled,chunk200_bm25_enriched,chunk200_bm25,C,answered_grounded_offtarget,0,,,
Family 1,pooled,chunk200_dense_enriched,chunk200_dense,C,answered_grounded_offtarget,0,,,
Family 1,pooled,chunk200_hybrid_enriched,chunk200_hybrid,C,answered_grounded_offtarget,0,,,
Family 1,pooled,chunk500_bm25_enriched,chunk500_bm25,C,answered_grounded_offtarget,0,,,
Family 1,pooled,chunk500_dense_enriched,chunk500_dense,C,answered_grounded_offtarget,1,1.0,1,False
Family 1,pooled,chunk500_hybrid_enriched,chunk500_hybrid,C,answered_grounded_offtarget,0,,,
Family 1,pooled,chunk200_bm25_enriched,chunk200_bm25,C,answered_ungrounded,0,,,
Family 1,pooled,chunk200_dense_enriched,chunk200_dense,C,answered_ungrounded,0,,,
