condition_id,chunk_size,retrieval_strategy,question_id,category,chunk_size_sensitive,coverage_at_5,case,outcome,grounding_basis,n_unsupported_claims,bertscore_cosine,model,abstained_exact_match,abstained_soft_match
chunk200_bm25,200,bm25,ref_comp_01,comparative,True,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_comp_02,comparative,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_comp_03,comparative,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_comp_04,comparative,True,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_comp_06,comparative,False,0.5,C,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_comp_07,comparative,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_comp_08,comparative,False,0.5,C,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_comp_09,comparative,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_comp_10,comparative,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_comp_11,comparative,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_comp_12,comparative,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_fact_01,factual,True,1.0,C,answered_grounded_correct,numeric,0,0.9602892398834229,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_fact_02,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_fact_03,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_fact_04,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_fact_05,factual,False,1.0,C,answered_grounded_correct,numeric,0,1.0000001192092896,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_fact_06,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_fact_07,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_fact_08,factual,False,0.0,B,answered_grounded_correct,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_fact_09,factual,False,1.0,C,answered_grounded_correct,numeric,0,0.9734025597572327,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_fact_10,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_fact_11,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_fact_12,factual,True,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_fact_13,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_fact_14,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_them_01,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_them_02,thematic,False,0.5,C,answered_grounded_correct,numeric,0,0.8241580724716187,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_them_03,thematic,True,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_them_04,thematic,True,0.5,C,answered_grounded_correct,numeric,0,0.7753595113754272,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_them_05,thematic,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_them_06,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_them_07,thematic,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_them_08,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_them_09,thematic,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_them_10,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_them_11,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_them_12,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_them_13,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_them_14,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_them_15,thematic,True,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_unans_01,unanswerable,False,,A,answered_ungrounded,numeric,2,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25,200,bm25,ref_unans_02,unanswerable,False,,A,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_unans_03,unanswerable,False,,A,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_unans_05,unanswerable,False,,A,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25,200,bm25,ref_unans_06,unanswerable,False,,A,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_comp_01,comparative,True,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_comp_02,comparative,False,0.5,C,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_comp_03,comparative,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_comp_04,comparative,True,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_comp_06,comparative,False,0.5,C,answered_grounded_correct,numeric,0,0.8604400157928467,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_comp_07,comparative,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_comp_08,comparative,False,0.5,C,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_comp_09,comparative,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_comp_10,comparative,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_comp_11,comparative,False,0.5,C,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_comp_12,comparative,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_fact_01,factual,True,1.0,C,answered_grounded_correct,numeric,0,0.9602892398834229,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_fact_02,factual,False,1.0,C,answered_grounded_correct,numeric,0,0.9614651203155518,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_fact_03,factual,False,1.0,C,answered_grounded_correct,numeric,0,0.9912142753601074,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_fact_04,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_fact_05,factual,False,1.0,C,answered_grounded_correct,numeric,0,1.0000001192092896,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_fact_06,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_fact_07,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_fact_08,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_fact_09,factual,False,1.0,C,answered_grounded_correct,numeric,0,0.9734025597572327,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_fact_10,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_fact_11,factual,False,1.0,C,answered_grounded_correct,numeric,0,0.9151809811592102,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_fact_12,factual,True,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_fact_13,factual,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_fact_14,factual,False,1.0,C,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_them_01,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_them_02,thematic,False,0.5,C,answered_grounded_correct,numeric,0,0.8533861041069031,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_them_03,thematic,True,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_them_04,thematic,True,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_them_05,thematic,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_them_06,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_them_07,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_them_08,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_them_09,thematic,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_them_10,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_them_11,thematic,False,0.0,B,answered_grounded_correct,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_them_12,thematic,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_them_13,thematic,False,0.0,B,answered_grounded_correct,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_them_14,thematic,False,0.0,B,answered_grounded_correct,numeric,0,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_them_15,thematic,True,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_unans_01,unanswerable,False,,A,answered_ungrounded,numeric,1,,qwen3.8-27b@q8_k_xl,False,False
chunk200_bm25_enriched,200,bm25,ref_unans_02,unanswerable,False,,A,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_unans_03,unanswerable,False,,A,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_unans_05,unanswerable,False,,A,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_bm25_enriched,200,bm25,ref_unans_06,unanswerable,False,,A,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_dense,200,dense,ref_comp_01,comparative,True,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_dense,200,dense,ref_comp_02,comparative,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
chunk200_dense,200,dense,ref_comp_03,comparative,False,0.0,B,abstained,,0,,qwen3.8-27b@q8_k_xl,True,True
