model,family,scope,a,b,case,outcome,n_matched,win,loss,tie,n_disc,p,testable,p_holm
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_bm25_enriched,chunk200_bm25,B,abstained,27,1,1,25,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_dense_enriched,chunk200_dense,B,abstained,18,0,0,18,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_hybrid_enriched,chunk200_hybrid,B,abstained,19,1,3,15,4,0.625,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_bm25_enriched,chunk500_bm25,B,abstained,27,1,2,24,3,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_dense_enriched,chunk500_dense,B,abstained,21,1,5,15,6,0.21875,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_hybrid_enriched,chunk500_hybrid,B,abstained,19,2,1,16,3,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_bm25_enriched,chunk200_bm25,B,answered_grounded_correct,27,3,1,23,4,0.625,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_dense_enriched,chunk200_dense,B,answered_grounded_correct,18,1,1,16,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_hybrid_enriched,chunk200_hybrid,B,answered_grounded_correct,19,3,0,16,3,0.25,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_bm25_enriched,chunk500_bm25,B,answered_grounded_correct,27,0,0,27,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_dense_enriched,chunk500_dense,B,answered_grounded_correct,21,2,1,18,3,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_hybrid_enriched,chunk500_hybrid,B,answered_grounded_correct,19,1,0,18,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_bm25_enriched,chunk200_bm25,B,answered_grounded_offtarget,27,1,3,23,4,0.625,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_dense_enriched,chunk200_dense,B,answered_grounded_offtarget,18,1,1,16,2,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_hybrid_enriched,chunk200_hybrid,B,answered_grounded_offtarget,19,2,4,13,6,0.6875,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_bm25_enriched,chunk500_bm25,B,answered_grounded_offtarget,27,2,1,24,3,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_dense_enriched,chunk500_dense,B,answered_grounded_offtarget,21,2,1,18,3,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_hybrid_enriched,chunk500_hybrid,B,answered_grounded_offtarget,19,2,3,14,5,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_bm25_enriched,chunk200_bm25,B,answered_ungrounded,27,0,0,27,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_dense_enriched,chunk200_dense,B,answered_ungrounded,18,0,0,18,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_hybrid_enriched,chunk200_hybrid,B,answered_ungrounded,19,1,0,18,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_bm25_enriched,chunk500_bm25,B,answered_ungrounded,27,0,0,27,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_dense_enriched,chunk500_dense,B,answered_ungrounded,21,2,0,19,2,0.5,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_hybrid_enriched,chunk500_hybrid,B,answered_ungrounded,19,0,1,18,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_bm25_enriched,chunk200_bm25,C,abstained,6,0,1,5,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_dense_enriched,chunk200_dense,C,abstained,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_hybrid_enriched,chunk200_hybrid,C,abstained,8,0,2,6,2,0.5,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_bm25_enriched,chunk500_bm25,C,abstained,5,0,1,4,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_dense_enriched,chunk500_dense,C,abstained,8,0,2,6,2,0.5,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_hybrid_enriched,chunk500_hybrid,C,abstained,7,0,1,6,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_bm25_enriched,chunk200_bm25,C,answered_grounded_correct,6,1,0,5,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_dense_enriched,chunk200_dense,C,answered_grounded_correct,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_hybrid_enriched,chunk200_hybrid,C,answered_grounded_correct,8,2,0,6,2,0.5,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_bm25_enriched,chunk500_bm25,C,answered_grounded_correct,5,2,0,3,2,0.5,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_dense_enriched,chunk500_dense,C,answered_grounded_correct,8,2,0,6,2,0.5,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_hybrid_enriched,chunk500_hybrid,C,answered_grounded_correct,7,0,0,7,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_bm25_enriched,chunk200_bm25,C,answered_grounded_offtarget,6,0,0,6,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_dense_enriched,chunk200_dense,C,answered_grounded_offtarget,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_hybrid_enriched,chunk200_hybrid,C,answered_grounded_offtarget,8,0,0,8,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_bm25_enriched,chunk500_bm25,C,answered_grounded_offtarget,5,0,1,4,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_dense_enriched,chunk500_dense,C,answered_grounded_offtarget,8,0,0,8,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_hybrid_enriched,chunk500_hybrid,C,answered_grounded_offtarget,7,0,0,7,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_bm25_enriched,chunk200_bm25,C,answered_ungrounded,6,0,0,6,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_dense_enriched,chunk200_dense,C,answered_ungrounded,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk200_hybrid_enriched,chunk200_hybrid,C,answered_ungrounded,8,0,0,8,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_bm25_enriched,chunk500_bm25,C,answered_ungrounded,5,0,0,5,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_dense_enriched,chunk500_dense,C,answered_ungrounded,8,0,0,8,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,pooled (n=45),chunk500_hybrid_enriched,chunk500_hybrid,C,answered_ungrounded,7,1,0,6,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_bm25_enriched,chunk200_bm25,B,abstained,7,1,0,6,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_dense_enriched,chunk200_dense,B,abstained,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_hybrid_enriched,chunk200_hybrid,B,abstained,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_bm25_enriched,chunk500_bm25,B,abstained,7,0,0,7,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_dense_enriched,chunk500_dense,B,abstained,4,0,1,3,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk500_hybrid_enriched,chunk500_hybrid,B,abstained,4,0,0,4,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_bm25_enriched,chunk200_bm25,B,answered_grounded_correct,7,0,1,6,1,1.0,True,1.0
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_dense_enriched,chunk200_dense,B,answered_grounded_correct,3,0,0,3,0,,False,
qwen3.8-27b@q4_k_xl,Family 1 — representation,factual (n=14),chunk200_hybrid_enriched,chunk200_hybrid,B,answered_grounded_correct,3,0,0,3,0,,False,
