model,condition_id,case,n_items,abstained,answered_grounded_correct,answered_grounded_offtarget,answered_ungrounded
qwen3.8-27b@q4_k_xl,chunk200_bm25,A,5,4,0,0,1
qwen3.8-27b@q4_k_xl,chunk200_bm25,B,33,22,1,10,0
qwen3.8-27b@q4_k_xl,chunk200_bm25,C,7,2,5,0,0
qwen3.8-27b@q4_k_xl,chunk200_bm25_enriched,A,5,4,0,0,1
qwen3.8-27b@q4_k_xl,chunk200_bm25_enriched,B,28,16,3,9,0
qwen3.8-27b@q4_k_xl,chunk200_bm25_enriched,C,12,4,8,0,0
qwen3.8-27b@q4_k_xl,chunk200_dense,A,5,4,0,1,0
qwen3.8-27b@q4_k_xl,chunk200_dense,B,35,24,1,10,0
qwen3.8-27b@q4_k_xl,chunk200_dense,C,5,1,4,0,0
qwen3.8-27b@q4_k_xl,chunk200_dense_enriched,A,5,5,0,0,0
qwen3.8-27b@q4_k_xl,chunk200_dense_enriched,B,19,9,1,9,0
qwen3.8-27b@q4_k_xl,chunk200_dense_enriched,C,21,4,16,1,0
qwen3.8-27b@q4_k_xl,chunk200_hybrid,A,5,5,0,0,0
qwen3.8-27b@q4_k_xl,chunk200_hybrid,B,31,20,1,9,1
qwen3.8-27b@q4_k_xl,chunk200_hybrid,C,9,3,6,0,0
qwen3.8-27b@q4_k_xl,chunk200_hybrid_enriched,A,5,5,0,0,0
qwen3.8-27b@q4_k_xl,chunk200_hybrid_enriched,B,20,8,3,7,2
qwen3.8-27b@q4_k_xl,chunk200_hybrid_enriched,C,20,3,17,0,0
qwen3.8-27b@q4_k_xl,chunk500_bm25,A,5,4,0,0,1
qwen3.8-27b@q4_k_xl,chunk500_bm25,B,32,21,2,9,0
qwen3.8-27b@q4_k_xl,chunk500_bm25,C,8,2,5,1,0
qwen3.8-27b@q4_k_xl,chunk500_bm25_enriched,A,5,4,0,0,1
qwen3.8-27b@q4_k_xl,chunk500_bm25_enriched,B,30,19,1,10,0
qwen3.8-27b@q4_k_xl,chunk500_bm25_enriched,C,10,2,8,0,0
qwen3.8-27b@q4_k_xl,chunk500_dense,A,5,5,0,0,0
qwen3.8-27b@q4_k_xl,chunk500_dense,B,32,20,3,9,0
qwen3.8-27b@q4_k_xl,chunk500_dense,C,8,4,4,0,0
qwen3.8-27b@q4_k_xl,chunk500_dense_enriched,A,5,5,0,0,0
qwen3.8-27b@q4_k_xl,chunk500_dense_enriched,B,21,6,3,10,2
qwen3.8-27b@q4_k_xl,chunk500_dense_enriched,C,19,3,16,0,0
qwen3.8-27b@q4_k_xl,chunk500_hybrid,A,5,5,0,0,0
qwen3.8-27b@q4_k_xl,chunk500_hybrid,B,31,20,1,9,1
qwen3.8-27b@q4_k_xl,chunk500_hybrid,C,9,3,6,0,0
qwen3.8-27b@q4_k_xl,chunk500_hybrid_enriched,A,5,5,0,0,0
qwen3.8-27b@q4_k_xl,chunk500_hybrid_enriched,B,21,11,1,9,0
qwen3.8-27b@q4_k_xl,chunk500_hybrid_enriched,C,19,3,14,1,1
