model,condition_id,case,n_items,abstained,answered_grounded_correct,answered_grounded_offtarget,answered_ungrounded
qwen3.8-flash-next,chunk200_bm25,A,5,5,0,0,0
qwen3.8-flash-next,chunk200_bm25,B,33,22,2,8,1
qwen3.8-flash-next,chunk200_bm25,C,7,2,5,0,0
qwen3.8-flash-next,chunk200_bm25_enriched,A,5,5,0,0,0
qwen3.8-flash-next,chunk200_bm25_enriched,B,28,16,2,9,1
qwen3.8-flash-next,chunk200_bm25_enriched,C,12,2,10,0,0
qwen3.8-flash-next,chunk200_dense,A,5,5,0,0,0
qwen3.8-flash-next,chunk200_dense,B,35,24,1,9,1
qwen3.8-flash-next,chunk200_dense,C,5,1,4,0,0
qwen3.8-flash-next,chunk200_dense_enriched,A,5,5,0,0,0
qwen3.8-flash-next,chunk200_dense_enriched,B,19,10,1,8,0
qwen3.8-flash-next,chunk200_dense_enriched,C,21,4,17,0,0
qwen3.8-flash-next,chunk200_hybrid,A,5,5,0,0,0
qwen3.8-flash-next,chunk200_hybrid,B,31,19,1,10,1
qwen3.8-flash-next,chunk200_hybrid,C,9,3,6,0,0
qwen3.8-flash-next,chunk200_hybrid_enriched,A,5,5,0,0,0
qwen3.8-flash-next,chunk200_hybrid_enriched,B,20,8,3,8,1
qwen3.8-flash-next,chunk200_hybrid_enriched,C,20,3,17,0,0
qwen3.8-flash-next,chunk500_bm25,A,5,5,0,0,0
qwen3.8-flash-next,chunk500_bm25,B,32,20,4,8,0
qwen3.8-flash-next,chunk500_bm25,C,8,2,6,0,0
qwen3.8-flash-next,chunk500_bm25_enriched,A,5,5,0,0,0
qwen3.8-flash-next,chunk500_bm25_enriched,B,30,19,2,9,0
qwen3.8-flash-next,chunk500_bm25_enriched,C,10,2,8,0,0
qwen3.8-flash-next,chunk500_dense,A,5,5,0,0,0
qwen3.8-flash-next,chunk500_dense,B,32,20,3,8,1
qwen3.8-flash-next,chunk500_dense,C,8,4,4,0,0
qwen3.8-flash-next,chunk500_dense_enriched,A,5,5,0,0,0
qwen3.8-flash-next,chunk500_dense_enriched,B,21,7,4,9,1
qwen3.8-flash-next,chunk500_dense_enriched,C,19,4,15,0,0
qwen3.8-flash-next,chunk500_hybrid,A,5,5,0,0,0
qwen3.8-flash-next,chunk500_hybrid,B,31,19,1,11,0
qwen3.8-flash-next,chunk500_hybrid,C,9,4,5,0,0
qwen3.8-flash-next,chunk500_hybrid_enriched,A,5,5,0,0,0
qwen3.8-flash-next,chunk500_hybrid_enriched,B,21,9,2,10,0
qwen3.8-flash-next,chunk500_hybrid_enriched,C,19,2,16,1,0
