question_id,condition_id,chunk_size,retrieval_strategy,category,case,outcome,coverage_at_5,chunk_size_sensitive,bertscore_cosine
ref_comp_01,chunk200_bm25,200,bm25,comparative,B,abstained,0.0,True,
ref_comp_02,chunk200_bm25,200,bm25,comparative,B,abstained,0.0,False,
ref_comp_03,chunk200_bm25,200,bm25,comparative,B,abstained,0.0,False,
ref_comp_04,chunk200_bm25,200,bm25,comparative,B,abstained,0.0,True,
ref_comp_06,chunk200_bm25,200,bm25,comparative,C,abstained,0.5,False,
ref_comp_07,chunk200_bm25,200,bm25,comparative,B,abstained,0.0,False,
ref_comp_08,chunk200_bm25,200,bm25,comparative,C,abstained,0.5,False,
ref_comp_09,chunk200_bm25,200,bm25,comparative,B,abstained,0.0,False,
ref_comp_10,chunk200_bm25,200,bm25,comparative,B,answered_grounded_offtarget,0.0,False,
ref_comp_11,chunk200_bm25,200,bm25,comparative,B,abstained,0.0,False,
ref_comp_12,chunk200_bm25,200,bm25,comparative,B,abstained,0.0,False,
ref_fact_01,chunk200_bm25,200,bm25,factual,C,answered_grounded_correct,1.0,True,0.9602892398834229
ref_fact_02,chunk200_bm25,200,bm25,factual,B,abstained,0.0,False,
ref_fact_03,chunk200_bm25,200,bm25,factual,B,abstained,0.0,False,
ref_fact_04,chunk200_bm25,200,bm25,factual,B,abstained,0.0,False,
ref_fact_05,chunk200_bm25,200,bm25,factual,C,answered_grounded_correct,1.0,False,1.0000001192092896
ref_fact_06,chunk200_bm25,200,bm25,factual,B,abstained,0.0,False,
ref_fact_07,chunk200_bm25,200,bm25,factual,B,abstained,0.0,False,
ref_fact_08,chunk200_bm25,200,bm25,factual,B,answered_grounded_correct,0.0,False,
ref_fact_09,chunk200_bm25,200,bm25,factual,C,answered_grounded_correct,1.0,False,0.9734025597572327
ref_fact_10,chunk200_bm25,200,bm25,factual,B,abstained,0.0,False,
ref_fact_11,chunk200_bm25,200,bm25,factual,B,abstained,0.0,False,
ref_fact_12,chunk200_bm25,200,bm25,factual,B,abstained,0.0,True,
ref_fact_13,chunk200_bm25,200,bm25,factual,B,abstained,0.0,False,
ref_fact_14,chunk200_bm25,200,bm25,factual,B,abstained,0.0,False,
ref_them_01,chunk200_bm25,200,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_02,chunk200_bm25,200,bm25,thematic,C,answered_grounded_correct,0.5,False,0.8241580724716187
ref_them_03,chunk200_bm25,200,bm25,thematic,B,answered_grounded_offtarget,0.0,True,
ref_them_04,chunk200_bm25,200,bm25,thematic,C,answered_grounded_correct,0.5,True,0.7919994592666626
ref_them_05,chunk200_bm25,200,bm25,thematic,B,abstained,0.0,False,
ref_them_06,chunk200_bm25,200,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_07,chunk200_bm25,200,bm25,thematic,B,abstained,0.0,False,
ref_them_08,chunk200_bm25,200,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_09,chunk200_bm25,200,bm25,thematic,B,abstained,0.0,False,
ref_them_10,chunk200_bm25,200,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_11,chunk200_bm25,200,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_12,chunk200_bm25,200,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_13,chunk200_bm25,200,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_14,chunk200_bm25,200,bm25,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_15,chunk200_bm25,200,bm25,thematic,B,abstained,0.0,True,
ref_unans_01,chunk200_bm25,200,bm25,unanswerable,A,answered_ungrounded,,False,
ref_unans_02,chunk200_bm25,200,bm25,unanswerable,A,abstained,,False,
ref_unans_03,chunk200_bm25,200,bm25,unanswerable,A,abstained,,False,
ref_unans_05,chunk200_bm25,200,bm25,unanswerable,A,abstained,,False,
ref_unans_06,chunk200_bm25,200,bm25,unanswerable,A,abstained,,False,
ref_comp_01,chunk200_dense,200,dense,comparative,B,abstained,0.0,True,
ref_comp_02,chunk200_dense,200,dense,comparative,B,abstained,0.0,False,
ref_comp_03,chunk200_dense,200,dense,comparative,B,abstained,0.0,False,
ref_comp_04,chunk200_dense,200,dense,comparative,B,abstained,0.0,True,
ref_comp_06,chunk200_dense,200,dense,comparative,B,abstained,0.0,False,
ref_comp_07,chunk200_dense,200,dense,comparative,B,abstained,0.0,False,
ref_comp_08,chunk200_dense,200,dense,comparative,C,abstained,0.5,False,
ref_comp_09,chunk200_dense,200,dense,comparative,B,abstained,0.0,False,
ref_comp_10,chunk200_dense,200,dense,comparative,B,abstained,0.0,False,
ref_comp_11,chunk200_dense,200,dense,comparative,B,abstained,0.0,False,
ref_comp_12,chunk200_dense,200,dense,comparative,B,abstained,0.0,False,
ref_fact_01,chunk200_dense,200,dense,factual,B,abstained,0.0,True,
ref_fact_02,chunk200_dense,200,dense,factual,B,abstained,0.0,False,
ref_fact_03,chunk200_dense,200,dense,factual,B,abstained,0.0,False,
ref_fact_04,chunk200_dense,200,dense,factual,B,abstained,0.0,False,
ref_fact_05,chunk200_dense,200,dense,factual,B,abstained,0.0,False,
ref_fact_06,chunk200_dense,200,dense,factual,B,abstained,0.0,False,
ref_fact_07,chunk200_dense,200,dense,factual,B,abstained,0.0,False,
ref_fact_08,chunk200_dense,200,dense,factual,B,abstained,0.0,False,
ref_fact_09,chunk200_dense,200,dense,factual,C,answered_grounded_correct,1.0,False,0.9734025597572327
ref_fact_10,chunk200_dense,200,dense,factual,B,abstained,0.0,False,
ref_fact_11,chunk200_dense,200,dense,factual,B,abstained,0.0,False,
ref_fact_12,chunk200_dense,200,dense,factual,C,answered_grounded_correct,1.0,True,0.9789583086967468
ref_fact_13,chunk200_dense,200,dense,factual,B,abstained,0.0,False,
ref_fact_14,chunk200_dense,200,dense,factual,B,abstained,0.0,False,
ref_them_01,chunk200_dense,200,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_02,chunk200_dense,200,dense,thematic,B,answered_grounded_correct,0.0,False,
ref_them_03,chunk200_dense,200,dense,thematic,B,answered_grounded_offtarget,0.0,True,
ref_them_04,chunk200_dense,200,dense,thematic,C,answered_grounded_correct,0.5,True,0.7716410160064697
ref_them_05,chunk200_dense,200,dense,thematic,B,abstained,0.0,False,
ref_them_06,chunk200_dense,200,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_07,chunk200_dense,200,dense,thematic,B,abstained,0.0,False,
ref_them_08,chunk200_dense,200,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_09,chunk200_dense,200,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_10,chunk200_dense,200,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_11,chunk200_dense,200,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_12,chunk200_dense,200,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_13,chunk200_dense,200,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_14,chunk200_dense,200,dense,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_15,chunk200_dense,200,dense,thematic,C,answered_grounded_correct,0.3333333333333333,True,0.8876651525497437
ref_unans_01,chunk200_dense,200,dense,unanswerable,A,answered_grounded_offtarget,,False,
ref_unans_02,chunk200_dense,200,dense,unanswerable,A,abstained,,False,
ref_unans_03,chunk200_dense,200,dense,unanswerable,A,abstained,,False,
ref_unans_05,chunk200_dense,200,dense,unanswerable,A,abstained,,False,
ref_unans_06,chunk200_dense,200,dense,unanswerable,A,abstained,,False,
ref_comp_01,chunk200_hybrid,200,hybrid,comparative,B,answered_grounded_offtarget,0.0,True,
ref_comp_02,chunk200_hybrid,200,hybrid,comparative,B,abstained,0.0,False,
ref_comp_03,chunk200_hybrid,200,hybrid,comparative,B,abstained,0.0,False,
ref_comp_04,chunk200_hybrid,200,hybrid,comparative,B,abstained,0.0,True,
ref_comp_06,chunk200_hybrid,200,hybrid,comparative,C,abstained,0.5,False,
ref_comp_07,chunk200_hybrid,200,hybrid,comparative,B,abstained,0.0,False,
ref_comp_08,chunk200_hybrid,200,hybrid,comparative,C,abstained,0.5,False,
ref_comp_09,chunk200_hybrid,200,hybrid,comparative,B,abstained,0.0,False,
ref_comp_10,chunk200_hybrid,200,hybrid,comparative,B,abstained,0.0,False,
ref_comp_11,chunk200_hybrid,200,hybrid,comparative,C,abstained,0.5,False,
ref_comp_12,chunk200_hybrid,200,hybrid,comparative,B,abstained,0.0,False,
ref_fact_01,chunk200_hybrid,200,hybrid,factual,C,answered_grounded_correct,1.0,True,0.9597574472427368
ref_fact_02,chunk200_hybrid,200,hybrid,factual,B,abstained,0.0,False,
ref_fact_03,chunk200_hybrid,200,hybrid,factual,B,abstained,0.0,False,
ref_fact_04,chunk200_hybrid,200,hybrid,factual,B,abstained,0.0,False,
ref_fact_05,chunk200_hybrid,200,hybrid,factual,C,answered_grounded_correct,1.0,False,1.0000001192092896
ref_fact_06,chunk200_hybrid,200,hybrid,factual,B,abstained,0.0,False,
ref_fact_07,chunk200_hybrid,200,hybrid,factual,B,abstained,0.0,False,
ref_fact_08,chunk200_hybrid,200,hybrid,factual,B,abstained,0.0,False,
ref_fact_09,chunk200_hybrid,200,hybrid,factual,C,answered_grounded_correct,1.0,False,0.9664744138717651
ref_fact_10,chunk200_hybrid,200,hybrid,factual,B,abstained,0.0,False,
ref_fact_11,chunk200_hybrid,200,hybrid,factual,B,abstained,0.0,False,
ref_fact_12,chunk200_hybrid,200,hybrid,factual,C,answered_grounded_correct,1.0,True,0.9789583086967468
ref_fact_13,chunk200_hybrid,200,hybrid,factual,B,abstained,0.0,False,
ref_fact_14,chunk200_hybrid,200,hybrid,factual,B,abstained,0.0,False,
ref_them_01,chunk200_hybrid,200,hybrid,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_02,chunk200_hybrid,200,hybrid,thematic,B,answered_grounded_correct,0.0,False,
ref_them_03,chunk200_hybrid,200,hybrid,thematic,B,answered_grounded_offtarget,0.0,True,
ref_them_04,chunk200_hybrid,200,hybrid,thematic,C,answered_grounded_correct,0.5,True,0.7695805430412292
ref_them_05,chunk200_hybrid,200,hybrid,thematic,B,abstained,0.0,False,
ref_them_06,chunk200_hybrid,200,hybrid,thematic,C,answered_grounded_correct,0.5,False,0.738608717918396
ref_them_07,chunk200_hybrid,200,hybrid,thematic,B,abstained,0.0,False,
ref_them_08,chunk200_hybrid,200,hybrid,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_09,chunk200_hybrid,200,hybrid,thematic,B,abstained,0.0,False,
ref_them_10,chunk200_hybrid,200,hybrid,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_11,chunk200_hybrid,200,hybrid,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_12,chunk200_hybrid,200,hybrid,thematic,B,answered_ungrounded,0.0,False,
ref_them_13,chunk200_hybrid,200,hybrid,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_14,chunk200_hybrid,200,hybrid,thematic,B,answered_grounded_offtarget,0.0,False,
ref_them_15,chunk200_hybrid,200,hybrid,thematic,B,answered_grounded_offtarget,0.0,True,
ref_unans_01,chunk200_hybrid,200,hybrid,unanswerable,A,abstained,,False,
ref_unans_02,chunk200_hybrid,200,hybrid,unanswerable,A,abstained,,False,
ref_unans_03,chunk200_hybrid,200,hybrid,unanswerable,A,abstained,,False,
ref_unans_05,chunk200_hybrid,200,hybrid,unanswerable,A,abstained,,False,
ref_unans_06,chunk200_hybrid,200,hybrid,unanswerable,A,abstained,,False,
ref_comp_01,chunk500_bm25,500,bm25,comparative,B,abstained,0.0,True,
