condition_id,case,n_items,abstained,answered_grounded_correct,answered_grounded_offtarget,answered_ungrounded
chunk200_bm25,A,5,4,0,0,1
chunk200_bm25,B,33,22,2,6,3
chunk200_bm25,C,7,2,3,0,2
chunk200_dense,A,5,4,0,1,0
chunk200_dense,B,35,24,1,7,3
chunk200_dense,C,5,1,3,0,1
chunk200_hybrid,A,5,5,0,0,0
chunk200_hybrid,B,31,20,1,7,3
chunk200_hybrid,C,9,3,6,0,0
chunk500_bm25,A,5,4,0,0,1
chunk500_bm25,B,32,20,3,6,3
chunk500_bm25,C,8,2,5,1,0
chunk500_dense,A,5,5,0,0,0
chunk500_dense,B,32,20,4,5,3
chunk500_dense,C,8,4,4,0,0
chunk500_hybrid,A,5,5,0,0,0
chunk500_hybrid,B,31,19,1,9,2
chunk500_hybrid,C,9,3,5,0,1
