condition_id,chunk_size,retrieval_strategy,question_id,category,chunk_size_sensitive,coverage_at_5,case,outcome,grounding_basis,n_unsupported_claims,bertscore_cosine,model,abstained_exact_match,abstained_soft_match
chunk200_bm25,200,bm25,ref_comp_01,comparative,True,0.0,B,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_comp_02,comparative,False,0.0,B,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_comp_03,comparative,False,0.0,B,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_comp_04,comparative,True,0.0,B,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_comp_06,comparative,False,0.5,C,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_comp_07,comparative,False,0.0,B,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_comp_08,comparative,False,0.5,C,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_comp_09,comparative,False,0.0,B,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_comp_10,comparative,False,0.0,B,answered_grounded_offtarget,numeric,0,,qwen3.8-flash-next,False,False
chunk200_bm25,200,bm25,ref_comp_11,comparative,False,0.0,B,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_comp_12,comparative,False,0.0,B,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_fact_01,factual,True,1.0,C,answered_grounded_correct,numeric,0,0.9731864333152771,qwen3.8-flash-next,False,False
chunk200_bm25,200,bm25,ref_fact_02,factual,False,0.0,B,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_fact_03,factual,False,0.0,B,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_fact_04,factual,False,0.0,B,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_fact_05,factual,False,1.0,C,answered_grounded_correct,numeric,0,1.0000001192092896,qwen3.8-flash-next,False,False
chunk200_bm25,200,bm25,ref_fact_06,factual,False,0.0,B,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_fact_07,factual,False,0.0,B,abstained,,0,,qwen3.8-flash-next,True,True
chunk200_bm25,200,bm25,ref_fact_08,factual,False,0.0,B,answered_grounded_correct,numeric,0,,qwen3.8-flash-next,False,False
chunk200_bm25,200,bm25,ref_fact_09,factual,False,1.0,C,answered_grounded_correct,numeric,0,0.9730018377304077,qwen3.8-flash-next,False,False
