model,question_id,condition_id,chunk_size,retrieval_strategy,indexing_representation,category,case,outcome,coverage_at_5,chunk_size_sensitive,bertscore_cosine
qwen3.8-27b@q4_k_xl,ref_comp_01,chunk200_bm25,200,bm25,text_only,comparative,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_comp_02,chunk200_bm25,200,bm25,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_03,chunk200_bm25,200,bm25,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_04,chunk200_bm25,200,bm25,text_only,comparative,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_comp_06,chunk200_bm25,200,bm25,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_07,chunk200_bm25,200,bm25,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_08,chunk200_bm25,200,bm25,text_only,comparative,C,abstained,0.5,False,
qwen3.8-27b@q4_k_xl,ref_comp_09,chunk200_bm25,200,bm25,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_10,chunk200_bm25,200,bm25,text_only,comparative,B,answered_grounded_offtarget,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_11,chunk200_bm25,200,bm25,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_comp_12,chunk200_bm25,200,bm25,text_only,comparative,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_01,chunk200_bm25,200,bm25,text_only,factual,C,answered_grounded_correct,1.0,True,0.9602892398834229
qwen3.8-27b@q4_k_xl,ref_fact_02,chunk200_bm25,200,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_03,chunk200_bm25,200,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_04,chunk200_bm25,200,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_05,chunk200_bm25,200,bm25,text_only,factual,C,answered_grounded_correct,1.0,False,1.0000001192092896
qwen3.8-27b@q4_k_xl,ref_fact_06,chunk200_bm25,200,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_07,chunk200_bm25,200,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_08,chunk200_bm25,200,bm25,text_only,factual,B,answered_grounded_correct,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_09,chunk200_bm25,200,bm25,text_only,factual,C,answered_grounded_correct,1.0,False,0.9734025597572327
qwen3.8-27b@q4_k_xl,ref_fact_10,chunk200_bm25,200,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_11,chunk200_bm25,200,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_12,chunk200_bm25,200,bm25,text_only,factual,B,abstained,0.0,True,
qwen3.8-27b@q4_k_xl,ref_fact_13,chunk200_bm25,200,bm25,text_only,factual,B,abstained,0.0,False,
qwen3.8-27b@q4_k_xl,ref_fact_14,chunk200_bm25,200,bm25,text_only,factual,B,abstained,0.0,False,
